id,ratio,category,lat,lon,year
0,0.01074896786647037,1,6.018333333345674,172.05699999999993,2020
1,0.01074896786647037,1,6.016500000174137,172.0571388888463,2020
2,0.01074896786647037,1,6.01595238103145,172.0557777777777,2020
3,0.01074896786647037,1,6.013222222234555,172.06188888888886,2020
4,0.01074896786647037,1,6.013222222234557,172.0629999999999,2020
5,0.01074896786647037,1,6.013000000066804,172.0614444444443,2020
6,0.01074896786647037,1,6.012232323732301,172.06190909095403,2020
7,0.01074896786647037,1,6.011116402383106,172.06324338617395,2020
8,0.01074896786647037,1,6.010300000124967,172.0650222222144,2020
9,0.2542123689131041,2,9.935777777853332,-61.999888888888876,2020
10,0.2897582585378909,2,9.93129629636553,-61.99529629627955,2020
11,0.277399786813858,2,9.918555555574478,-61.98833333333334,2020
12,0.27002995271360775,2,9.917888888907806,-61.98722222222223,2020
13,0.22658941874537544,2,9.91751851858767,-61.993740740724,2020
14,0.24797335088651198,2,9.91745555599209,-61.9913222220606,2020
15,0.22979680051733484,2,9.917000000018916,-61.992444444444445,2020
16,0.2216773858824745,2,9.916629629698779,-61.99270370372046,2020
17,0.24647982104710434,2,9.916370370646703,-61.98522222219711,2020
18,0.32462583822721297,2,9.923312742719984,-61.990984306895356,2020
19,0.18930608110109687,1,9.914555555574474,-61.97966666666668,2020
20,0.18808856085909845,1,9.914111111130028,-61.979555555555564,2020
21,0.17303821287486407,1,9.914111111130026,-61.977222222222245,2020
22,0.1838906127984713,1,9.913555555630959,-61.978777777777786,2020
23,0.18301106382028973,1,9.912866666739804,-61.97962222220416,2020
24,0.17899408131622477,1,9.912866666739806,-61.977622222204175,2020
25,0.17920160306892485,1,9.912333333352247,-61.979222222222226,2020
26,0.17761725082790986,1,9.912238095312338,-61.977507936526386,2020
27,0.175364633287934,1,9.911888888907804,-61.97966666666667,2020
28,0.1685229119366572,1,9.911611111172379,-61.97627777780603,2020
29,0.17097545794875904,1,9.91144444446336,-61.97966666666668,2020
30,0.1730396278410798,1,9.911476190587313,-61.97728571423656,2020
